Time,Channel A,Channel B
(us),(mV),(mV)

-4.09988769,2.06305122,-1.98370302
-4.09588769,2.16071033,-0.25940731
-4.09188769,2.45368814,-0.50355536
-4.08788769,2.06305122,-2.47199917
-4.08388769,1.66631055,-5.43229437
-4.07988769,1.76396978,0.00000000
-4.07588769,2.25836945,-0.50355536
-4.07188769,2.06305122,-0.50355536
-4.06788769,1.86162913,-5.67644262
-4.06388769,2.06305122,-4.19629478
-4.05988769,2.25836945,-2.47199917
-4.05588769,1.86162913,-3.70799875
-4.05188769,1.86162913,-0.99185151
-4.04788769,1.76396978,-0.99185151
-4.04388769,2.06305122,-2.71614718
-4.03988769,2.35602903,-0.50355536
-4.03588769,2.06305122,-1.48014760
-4.03188769,2.64900661,-0.74770343
-4.02788769,1.47099209,0.48829612
-4.02388769,2.06305122,-2.96029520
-4.01988769,2.25836945,-2.47199917
-4.01588769,1.27567363,-1.73955488
-4.01188769,2.45368814,-1.23599958
-4.00788769,2.25836945,-2.47199917
-4.00388769,1.66631055,-0.99185151
-3.99988769,1.76396978,-1.73955488
-3.99588769,1.96539199,0.97659224
-3.99188769,1.76396978,0.24414806
-3.98788770,2.16071033,-0.74770343
-3.98388770,1.86162913,-2.96029520
-3.97988770,1.86162913,-2.96029520
-3.97588770,2.25836945,-1.73955488
-3.97188770,2.35602903,-2.47199917
-3.96788770,1.96539199,0.73244417
-3.96388770,2.16071033,-1.48014760
-3.95988770,1.56865132,-0.50355536
-3.95588770,2.74666595,-1.73955488
-3.95188770,2.25836945,-2.22785115
-3.94788770,1.86162913,-0.99185151
-3.94388770,2.16071033,-0.99185151
-3.93988770,1.66631055,-1.23599958
-3.93588770,2.16071033,0.48829612
-3.93188770,1.86162913,-1.48014760
-3.92788770,1.37333298,-1.73955488
-3.92388770,1.66631055,-1.98370302
-3.91988770,1.56865132,-1.48014760
-3.91588770,1.86162913,-1.98370302
-3.91188770,1.47099209,-0.50355536
-3.90788770,2.25836945,-1.48014760
-3.90388770,1.76396978,-2.96029520
-3.89988770,1.66631055,-2.71614718
-3.89588770,1.66631055,-3.46385050
-3.89188770,1.96539199,0.00000000
-3.88788770,2.06305122,-0.99185151
-3.88388770,2.16071033,-0.74770343
-3.87988770,2.35602903,-1.48014760
-3.87588770,2.85042882,-0.25940731
-3.87188770,1.76396978,-2.47199917
-3.86788770,2.45368814,-0.25940731
-3.86388770,2.06305122,-3.70799875
-3.85988770,1.76396978,-0.99185151
-3.85588770,1.86162913,-2.47199917
-3.85188770,2.16071033,-1.73955488
-3.84788770,2.06305122,-2.47199917
-3.84388770,1.86162913,-1.23599958
-3.83988770,1.96539199,-1.48014760
-3.83588770,1.96539199,-2.71614718
-3.83188770,2.16071033,-1.48014760
-3.82788770,1.86162913,-0.99185151
-3.82388770,1.47099209,-2.22785115
-3.81988770,2.45368814,-1.73955488
-3.81588770,2.06305122,-2.96029520
-3.81188770,1.56865132,-4.19629478
-3.80788770,1.76396978,-2.22785115
-3.80388770,2.06305122,-0.99185151
-3.79988770,2.16071033,0.00000000
-3.79588770,1.76396978,-2.47199917
-3.79188770,2.06305122,-0.74770343
-3.78788770,2.16071033,-0.99185151
-3.78388770,2.85042882,-0.50355536
-3.77988770,1.86162913,-1.48014760
-3.77588770,1.76396978,-2.22785115
-3.77188770,2.16071033,-2.96029520
-3.76788770,1.76396978,-1.98370302
-3.76388770,1.66631055,-1.98370302
-3.75988770,1.66631055,-2.47199917
-3.75588770,2.45368814,-0.25940731
-3.75188770,2.06305122,-0.99185151
-3.74788770,2.06305122,-1.73955488
-3.74388770,2.06305122,-1.48014760
-3.73988770,2.25836945,-0.74770343
-3.73588770,1.66631055,-2.47199917
-3.73188770,1.27567363,0.00000000
